              precision    recall  f1-score   support

           5       0.19      0.20      0.20      5609
           6       0.10      0.11      0.11      3160
           7       0.19      0.20      0.19      7051
           8       0.27      0.27      0.27     10258
           9       0.20      0.20      0.20      7037
          10       0.27      0.25      0.26      7716

    accuracy                           0.22     40831
   macro avg       0.21      0.20      0.20     40831
weighted avg       0.22      0.22      0.22     40831
