              precision    recall  f1-score   support

           5       0.49      0.06      0.10      5609
           6       0.29      0.00      0.00      3160
           7       0.28      0.01      0.01      7051
           8       0.26      0.88      0.40     10258
           9       0.33      0.02      0.05      7037
          10       0.33      0.19      0.24      7716

    accuracy                           0.27     40831
   macro avg       0.33      0.19      0.13     40831
weighted avg       0.32      0.27      0.17     40831
