              precision    recall  f1-score   support

           5       0.19      0.27      0.22      5609
           6       0.10      0.08      0.09      3160
           7       0.19      0.20      0.20      7051
           8       0.27      0.30      0.28     10258
           9       0.21      0.16      0.18      7037
          10       0.30      0.24      0.26      7716

    accuracy                           0.23     40831
   macro avg       0.21      0.21      0.21     40831
weighted avg       0.23      0.23      0.22     40831
