              precision    recall  f1-score   support

           5       0.24      0.20      0.22      5609
           6       0.11      0.06      0.08      3160
           7       0.21      0.20      0.20      7051
           8       0.27      0.37      0.31     10258
           9       0.23      0.20      0.21      7037
          10       0.32      0.33      0.33      7716

    accuracy                           0.25     40831
   macro avg       0.23      0.23      0.23     40831
weighted avg       0.25      0.25      0.25     40831
